,id,purpose,go_with,weather,time,viettel_no_0,viettel_no_1,viettel_no_2,score,direction
0,7067,travel,alone,sunny,afternoon,1,0,0,5,0
1,2114,travel,friends,sunny,afternoon,1,1,0,4,0
2,6582,travel,family,sunny,morning,1,1,0,0,0
3,11379,travel,family,sunny,afternoon,1,0,0,0,0
4,3986,travel,alone,sunny,evening,1,0,0,3,1
5,18895,work,alone,sunny,morning,1,1,1,0,0
6,15411,work,alone,sunny,morning,1,0,0,0,0
7,9479,travel,friends,sunny,afternoon,1,1,0,0,0
8,6066,work,alone,sunny,morning,1,1,1,0,0
9,4993,travel,friends,sunny,evening,1,1,0,0,0
10,16677,travel,family,sunny,afternoon,1,0,0,14,0
11,12449,travel,family,sunny,afternoon,1,1,0,15,0
12,7488,travel,friends,sunny,morning,1,1,0,0,0
13,16063,travel,friends,sunny,afternoon,1,0,0,0,0
14,3687,travel,alone,sunny,morning,1,0,0,3,0
15,19554,travel,friends,sunny,morning,1,0,0,5,0
16,13548,travel,friends,sunny,afternoon,1,1,0,0,0
17,9635,travel,friends,sunny,afternoon,1,1,0,8,0
18,9065,travel,alone,sunny,evening,1,0,0,4,1
19,9063,travel,alone,sunny,afternoon,1,0,0,18,0
20,4097,travel,friends,sunny,afternoon,1,1,0,21,0
21,16457,travel,family,sunny,afternoon,1,0,0,0,0
22,5225,travel,alone,sunny,evening,1,1,0,0,0
23,14587,travel,alone,sunny,evening,1,0,0,0,0
24,11945,work,alone,sunny,morning,1,1,1,0,0
25,19981,work,alone,sunny,morning,1,1,1,20,0
26,5942,work,alone,sunny,morning,1,1,0,16,0
27,2482,work,alone,sunny,morning,1,0,0,0,0
28,1331,travel,alone,sunny,morning,1,0,0,0,0
29,10734,work,alone,sunny,morning,1,1,0,0,0
30,2379,travel,friends,sunny,morning,1,1,0,0,0
31,16826,travel,friends,sunny,evening,1,1,0,3,0
32,4701,travel,friends,sunny,morning,1,1,0,5,0
33,10078,travel,family,sunny,morning,1,1,0,0,0
34,2810,travel,family,sunny,morning,1,1,0,0,0
35,8146,travel,friends,sunny,morning,1,0,0,0,0
36,15925,travel,friends,sunny,morning,1,0,0,0,0
37,10381,travel,family,sunny,afternoon,1,1,0,0,0
38,7211,work,alone,sunny,morning,1,1,1,28,0
39,5365,travel,friends,sunny,morning,1,0,0,0,0
40,16974,travel,friends,sunny,afternoon,1,0,0,0,0
41,16815,travel,alone,sunny,morning,1,0,0,0,0
42,14365,travel,alone,sunny,afternoon,1,0,0,0,1
43,2638,work,alone,sunny,morning,1,1,1,0,0
44,1731,travel,alone,sunny,afternoon,1,0,0,0,0
45,14732,travel,friends,sunny,morning,1,1,0,10,0
46,5080,travel,friends,sunny,afternoon,1,1,0,0,0
47,10049,travel,friends,sunny,afternoon,1,1,0,8,0
48,18547,work,alone,sunny,morning,1,1,1,0,0
49,3506,work,alone,sunny,morning,1,0,0,0,0
50,13943,travel,friends,sunny,morning,1,1,0,1,0
51,14077,travel,family,sunny,morning,1,1,0,0,0
52,18165,travel,friends,sunny,morning,1,0,0,0,0
53,17178,work,alone,sunny,morning,1,0,0,0,0
54,12426,travel,family,sunny,afternoon,1,1,0,0,0
55,1819,travel,alone,sunny,afternoon,1,0,0,0,1
56,8067,travel,family,sunny,morning,1,1,0,0,0
57,14390,travel,family,sunny,afternoon,1,0,0,0,0
58,6548,work,alone,sunny,morning,1,0,0,0,0
59,8922,travel,friends,sunny,afternoon,1,1,0,6,0
60,8231,travel,friends,sunny,morning,1,0,0,27,0
61,16405,travel,family,sunny,morning,1,0,0,0,0
62,5619,travel,family,sunny,morning,1,0,0,18,0
63,15489,travel,family,sunny,morning,1,1,0,0,0
64,12882,travel,family,sunny,afternoon,1,1,0,31,0
65,16852,travel,family,sunny,morning,1,1,0,0,0
66,14790,travel,family,sunny,morning,1,0,0,0,0
67,19292,work,alone,sunny,morning,1,0,0,0,1
68,9334,travel,friends,sunny,afternoon,1,0,0,0,0
69,3171,travel,alone,sunny,afternoon,1,0,0,0,0
70,11211,travel,friends,sunny,afternoon,1,0,0,0,0
71,9767,travel,friends,sunny,morning,1,1,0,0,0
72,13703,work,alone,sunny,morning,1,1,0,0,0
73,19696,work,alone,sunny,morning,1,0,0,8,1
74,6430,travel,friends,sunny,evening,1,1,0,3,0
75,17396,work,alone,sunny,morning,1,1,0,0,0
76,18477,travel,friends,sunny,afternoon,1,1,0,0,0
77,5744,travel,alone,sunny,afternoon,1,0,0,4,0
78,7946,travel,friends,sunny,afternoon,1,1,0,0,0
79,18508,travel,alone,sunny,afternoon,1,0,0,0,0
80,9598,travel,friends,sunny,morning,1,0,0,0,0
81,9750,travel,friends,sunny,afternoon,1,1,0,0,0
82,18244,travel,friends,sunny,afternoon,1,1,0,6,0
83,6675,travel,friends,sunny,evening,1,1,0,5,0
84,14529,travel,family,sunny,morning,1,1,0,0,0
85,1073,travel,family,sunny,afternoon,1,1,0,0,0
86,13544,travel,alone,sunny,evening,1,1,0,4,0
87,17137,travel,alone,sunny,evening,1,0,0,0,0
88,5063,work,alone,sunny,morning,1,0,0,0,1
89,13362,work,alone,sunny,morning,1,0,0,3,0
90,2626,travel,friends,sunny,afternoon,1,0,0,0,0
91,8488,travel,friends,sunny,morning,1,1,0,1,0
92,4761,travel,friends,sunny,afternoon,1,0,0,0,0
93,12088,travel,friends,sunny,afternoon,1,1,0,0,0
94,12726,travel,alone,sunny,evening,1,0,0,0,0
95,18936,travel,friends,sunny,morning,1,0,0,0,0
96,3634,travel,alone,sunny,evening,1,1,0,0,0
97,16141,work,alone,sunny,morning,1,0,0,0,1
98,8449,travel,friends,sunny,morning,1,1,0,0,0
99,13925,travel,friends,sunny,afternoon,1,1,0,0,0
100,3380,travel,friends,sunny,afternoon,1,0,0,17,0
101,14493,travel,alone,sunny,evening,1,1,0,19,0
102,7757,travel,alone,sunny,evening,1,0,0,0,0
103,3825,work,alone,sunny,morning,1,0,0,0,1
104,10231,travel,friends,sunny,morning,1,0,0,0,0
105,17615,travel,friends,sunny,afternoon,1,1,0,0,0
106,5661,travel,family,sunny,morning,1,0,0,0,0
107,11017,travel,alone,sunny,evening,1,0,0,27,1
108,6453,travel,alone,sunny,afternoon,1,0,0,35,0
109,11563,travel,friends,sunny,morning,1,0,0,0,0
110,16302,travel,alone,sunny,afternoon,1,1,0,0,0
111,7722,work,alone,sunny,morning,1,0,0,0,1
112,17288,work,alone,sunny,morning,1,0,0,0,0
113,8434,travel,friends,sunny,morning,1,1,0,0,0
114,9457,travel,friends,sunny,afternoon,1,1,0,0,0
115,13340,travel,friends,sunny,morning,1,1,0,0,0
116,17357,travel,family,sunny,afternoon,1,0,0,14,0
117,14420,travel,alone,sunny,afternoon,1,0,0,0,1
118,19905,travel,friends,sunny,morning,1,0,0,0,0
119,12980,travel,friends,sunny,afternoon,1,1,0,0,0
120,5028,travel,friends,sunny,afternoon,1,1,0,0,0
121,7136,travel,alone,sunny,afternoon,1,0,0,3,1
122,7566,travel,alone,sunny,evening,1,0,0,0,0
123,13031,work,alone,sunny,morning,1,1,1,1,0
124,12987,work,alone,sunny,morning,1,1,0,4,0
125,4074,travel,friends,sunny,afternoon,1,1,0,0,0
126,7751,work,alone,sunny,morning,1,0,0,0,1
127,1878,work,alone,sunny,morning,1,0,0,0,0
128,12773,travel,friends,sunny,afternoon,1,1,0,0,0
129,18388,work,alone,sunny,morning,1,1,1,0,0
130,13316,work,alone,sunny,morning,1,1,0,14,0
131,10256,travel,friends,sunny,morning,1,1,0,0,0
132,13853,travel,friends,sunny,morning,1,1,0,0,0
133,15067,travel,family,sunny,afternoon,1,1,0,0,0
134,11161,work,alone,sunny,morning,1,0,0,0,1
135,6458,travel,friends,sunny,evening,1,1,0,25,0
136,17704,travel,friends,sunny,afternoon,1,1,0,0,0
137,14936,travel,friends,sunny,afternoon,1,0,0,22,0
138,5420,travel,friends,sunny,morning,1,0,0,0,0
139,11993,work,alone,sunny,morning,1,0,0,0,1
140,15894,travel,family,sunny,morning,1,1,0,5,0
141,6198,travel,friends,sunny,afternoon,1,1,0,0,0
142,14947,travel,alone,sunny,evening,1,1,0,0,0
143,15520,work,alone,sunny,morning,1,1,1,0,0
144,11475,work,alone,sunny,morning,1,0,0,0,0
145,16290,travel,alone,sunny,afternoon,1,0,0,2,0
146,4277,travel,friends,sunny,evening,1,1,0,1,0
147,10917,work,alone,sunny,morning,1,0,0,0,0
148,12526,travel,friends,sunny,evening,1,1,0,9,0
